,Year,Country,Area,Location,Activity,Fatal (Y/N),Injury,Species
31,2018.0,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,N,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,Other
32,2018.0,NEW CALEDONIA,,"Magenta Beach, Noumea",Windsurfing,N,"No injury, shark bit board",Other
33,2018.0,BAHAMAS,,Bimini,Swimming,N,"2 puncture wounds to left foot, abrasion to right foot",Bull shark
34,2018.0,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,N,Lacerations to left knee & lower leg,White shark
35,2018.0,USA,Hawaii,Kukio Beach,Standing,N,Injuries to right leg & hand,Tiger shark
36,2018.0,AUSTRALIA,Western Australia,Waterman's Bay,Wading,N,Minor injuries to legs,Other
37,2018.0,AUSTRALIA,Victoria,Lorne,Swimming,N,"No injury, said to have been charged by sharks several times",Other
38,2018.0,AUSTRALIA,Victoria,Winkipop,Surfing,N,"Minor injury, ankle grazed",Other
39,2018.0,SOUTH AFRICA,KwaZulu-Natal,Durban,Scuba,N, The shark & man simply collided; neither were injured,Blacktip shark
40,2018.0,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,N,Laceratons to right leg & foot,White shark
41,2018.0,AUSTRALIA,Victoria,Westernport Bay,Kayaking,N,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",No Values
42,2018.0,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Other,N,Puncture wounds to leff foot & lower leg,Bull shark
43,2018.0,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,N,"Collision / No injury, no attack",Other
44,2018.0,BRAZIL,"Boi Island, Victoria",Espirito Santo,Fishing,N,Lacerations to 4 toes of right foot,Other
45,2018.0,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,N,Injuries to right foot,Other
46,2018.0,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,N,"No injury no attack. This is considerd an ""encounter""",Other
47,2018.0,AUSTRALIA,Western Australia,Cone Bay,Other,N,Injuries to right leg,Bull shark
48,2018.0,NEW CALEDONIA,,Nouville,Spearfishing,N,Injuries to abdomen and arm,Bull shark
49,2018.0,AUSTRALIA,Queensland,Lizard Island,Diving,N,Severe laceration to left forearm,Grey shark
50,2018.0,AUSTRALIA,New South Wales,Martin Islet,Diving,N,"No injury, shark took his swimfin",White shark
51,2018.0,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,N,Minor injury to left forearm,Other
52,2018.0,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,N,Foot bitten,Other
53,2017.0,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,N,Severe lacerations to left thigh & knee,Tiger shark
54,2017.0,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,N,Foot bitten,No Values
55,2017.0,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing,N,"Minor injury to thigh, PROVOKED INCIDENT",Nurse shark
56,2017.0,BAHAMAS,,,Snorkeling,N,Minor injury to arm,Nurse shark
57,2017.0,COSTA RICA,Cocos Island,Manuelita,Scuba,N,Serious injury to leg,Tiger shark
58,2017.0,COSTA RICA,Cocos Island,Manuelita,Scuba,Y,FATAL,Tiger shark
59,2017.0,LIBYA,, Gars Garabulli,Other,Y,FATAL,Blue shark
60,2017.0,USA,California,"Stillwater Cove, Monterey County",Spearfishing,N,Right leg bitten,White shark
61,2017.0,USA,Florida,"Floridana Beach, Brevard County",Surfing,N,Heel bitten,No Values
62,2017.0,,,,Surfing,N,Puncture wounds to feet,No Values
63,2017.0,AUSTRALIA,New South Wales,Avoca Beach,Surfing,N,Puncture wounds to left shoulder,Other
64,2017.0,CUBA,Holquin Province,Guardalavaca Beach,Bathing,Y,FATAL,Tiger shark
65,2017.0,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,N,Calf injured,Other
66,2017.0,AUSTRALIA,New South Wales,Birubi Point,Surfing,N,Minor injury to foot,Other
67,2017.0,USA,Hawaii,"White Plains Beach, Oahu",Standing,N,No injury but shark bit SUP,No Values
68,2017.0,MAURITIUS,Pamplemousses ,Le Goulet,Swimming,N,Minor injury to foot,No Values
69,2017.0,USA,Florida,"Juno Beach, Palm Beach County",Surfing,N,Lacerations to left foot,No Values
70,2017.0,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,N,Severe lacerations to left hand & wrist,No Values
71,2017.0,AUSTRALIA,South Australia,Normanville,Kayaking,N,Minor injuries,White shark
72,2017.0,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",Kayaking,N,"No injury, shark shook kayak x3 ",Other
73,2017.0,USA,Florida,"Lantana Beach, Palm Beach County",Swimming,N,Puncture wounds & lacerations to foot,Spinner shark
